hash, file(s)_changed,(s)+,(s)-
247777325,   6, 117, 7
37714b5ce,
22a7b4bc1,   1, 4, 4
4822241d6,
b3a1f34b7,   1, 1
efb200e82,   1, 25, 20
a72ea8baa,
2927f0698,   1, 6, 8
8f5208459,
fca595074,   2, 127
44f43fd5f,
82e314c46,   1, 5, 2
8e4f6bf3a,
6ea1048c7,
94233cf4e,
351315fbb,
444355f46,
e002a39a4,   1, 1, 1
16d2f8264,   11, 83, 66
78aee4fed,   5, 31, 36
85968040b,   3, 39, 28
3ed9b35f7,   3, 11, 8
a9d1457c0,   1, 7, 7
84c5f4079,
c1960b2fd,
0af89779a,
037e224cc,
20e3edfc7,   3, 395, 397
8a8359cdd,   47, 131, 139
b4303cd98,   15, 31, 26
329c6c78b,   7, 10, 13
ee314617f,   14, 14, 14
6340792f7,   13, 14, 15
652078530,   18, 26, 26
a3e064779,   17, 66, 64
b567ed738,   2, 2, 31
0a50a6a39,   1, 3, 2
ff7c9ef1b,   1, 1, 1
67f960ba6,   4, 50, 32
86538a444,   1, 24, 12
b9a30d154,
1a95f1fd2,   3, 4, 4
7ddc185b3,   17, 22, 22
9812693be,
0054dd32e,
95b31a191,
e1c00f235,   1, 2, 2
6154e1742,   1, 1, 1
e5899a610,   1, 385, 383
72c8a04c8,
fe954c76d,
175a9cee5,
c5c59149c,   1, 3, 1
d5cc46f93,   1, 12, 3
3dd20dbcb,   1, 1, 1
925ec737f,
fe89f5eaa,
27422f097,   1, 1, 1
ebbc5a611,   1, 1, 1
7ffc14a65,
22f43e367,   1, 1
625a7808e,
e30a9cf00,   1, 1
34f48530c,
dcd8842d9,   1, 5, 2
7e267b385,
2ac26971c,   1, 1, 1
9d53fc68b,
3a6a75ac0,   1, 1
42cf5f016,
ba20ac5c6,   1, 2
865754f07,
fe36f3db6,   1, 1, 1
49149aa01,   98, 73, 3
753e11151,   1, 1, 1
de72a2310,
